Sample  Type    Round   Line    Previous
R0001   F1ST    NA  NA  NA
R0002   Fungus  1   0   NA
R0003   Fungus  7   1   R0002
R0004   Fungus  7   2   R0002
R0005   Fungus  7   3   R0002
R0006   Fungus  7   5   R0002
R0007   Fungus  7   6   R0002
R0008   Fungus  7   7   R0002
R0009   Fungus  7   8   R0002
R0010   Fungus  7   9   R0002
R0011   Fungus  7   10  R0002
R0012   Fungus  2   4   R0002
R0013   Fungus  3   4   R0012
R0014   Fungus  4   4   R0013
R0015   Fungus  5   4   R0014
R0016   Fungus  6   4   R0015
R0017   Fungus  8   4   R0016
R0018   Fungus  9   4   R0017
R0019   Fungus  10  4   R0018
R0020   Fungus  10  2   R0004
R0021   Fungus  10  7   R0008
R0022   Fungus  10  P   NA
G4_01   Inj4    0   NA  NA
G4_02   Inj4    10  2   G4_07
G4_03   Inj4    10  4   G4_22
G4_04   Inj4    10  7   G4_12
G4_05   Inj4    10  P   NA
G4_06   Inj4    7   1   GG4
G4_07   Inj4    7   2   GG5
G4_08   Inj4    7   3   GG6
G4_09   Inj4    7   4   GG7
G4_10   Inj4    7   5   GG8
G4_11   Inj4    7   6   GG9
G4_12   Inj4    7   7   GG10
G4_13   Inj4    7   8   GG11
G4_14   Inj4    7   9   GG12
G4_15   Inj4    7   10  GG13
G4_16   Inj4    3   4   GG7
G4_17   Inj4    4   4   G4_16
G4_18   Inj4    5   4   G4_17
G4_19   Inj4    6   4   G4_18
G4_20   Inj4    7   4   G4_19
G4_21   Inj4    8   4   G4_20
G4_22   Inj4    9   4   G4_21
GG1 Inj4    0   NA  NA
GG2 Inj3    1   0   NA
GG3 Inj3    5   0   NA
GG4 Inj4    2   1   GG14
GG5 Inj4    2   2   GG14
GG6 Inj4    2   3   GG14
GG7 Inj4    2   4   GG14
GG8 Inj4    2   5   GG14
GG9 Inj4    2   6   GG14
GG10    Inj4    2   7   GG14
GG11    Inj4    2   8   GG14
GG12    Inj4    2   9   GG14
GG13    Inj4    2   10  GG14
GG14    Inj4    1   0   GG1
